Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l2leaf,LEAF1,Ethernet1,network_port,,,False
l2leaf,LEAF1,Ethernet2,network_port,,,False
l2leaf,LEAF1,Ethernet3,network_port,,,False
l2leaf,LEAF1,Ethernet4,network_port,,,False
l2leaf,LEAF1,Ethernet5,network_port,,,False
l2leaf,LEAF1,Ethernet6,network_port,,,False
l2leaf,LEAF1,Ethernet7,network_port,,,False
l2leaf,LEAF1,Ethernet8,network_port,,,False
l2leaf,LEAF1,Ethernet9,network_port,,,False
l2leaf,LEAF1,Ethernet10,network_port,,,False
l2leaf,LEAF1,Ethernet11,network_port,,,False
l2leaf,LEAF1,Ethernet12,network_port,,,False
l2leaf,LEAF1,Ethernet13,network_port,,,False
l2leaf,LEAF1,Ethernet14,network_port,,,False
l2leaf,LEAF1,Ethernet15,network_port,,,False
l2leaf,LEAF1,Ethernet16,network_port,,,False
l2leaf,LEAF1,Ethernet17,network_port,,,True
l2leaf,LEAF1,Ethernet18,network_port,,,False
l2leaf,LEAF1,Ethernet19,network_port,,,True
l2leaf,LEAF1,Ethernet20,network_port,,,False
l2leaf,LEAF1,Ethernet21,network_port,,,True
l2leaf,LEAF1,Ethernet22,network_port,,,False
l2leaf,LEAF1,Ethernet23,network_port,,,True
l2leaf,LEAF1,Ethernet24,network_port,,,False
l2leaf,LEAF1,Ethernet25,network_port,,,True
l2leaf,LEAF1,Ethernet26,network_port,,,False
l2leaf,LEAF1,Ethernet27,network_port,,,True
l2leaf,LEAF1,Ethernet28,network_port,,,False
l2leaf,LEAF1,Ethernet29,network_port,,,True
l2leaf,LEAF1,Ethernet30,network_port,,,False
l2leaf,LEAF1,Ethernet31,network_port,,,True
l2leaf,LEAF1,Ethernet32,network_port,,,False
l2leaf,LEAF1,Ethernet35,l2spine,SPINE1,Ethernet31,True
l2leaf,LEAF1,Ethernet36,l2spine,SPINE2,Ethernet31,True
l2leaf,LEAF2,Ethernet1,network_port,,,False
l2leaf,LEAF2,Ethernet2,network_port,,,False
l2leaf,LEAF2,Ethernet3,network_port,,,False
l2leaf,LEAF2,Ethernet4,network_port,,,False
l2leaf,LEAF2,Ethernet5,network_port,,,False
l2leaf,LEAF2,Ethernet6,network_port,,,False
l2leaf,LEAF2,Ethernet7,network_port,,,False
l2leaf,LEAF2,Ethernet8,network_port,,,False
l2leaf,LEAF2,Ethernet9,network_port,,,False
l2leaf,LEAF2,Ethernet10,network_port,,,False
l2leaf,LEAF2,Ethernet11,network_port,,,False
l2leaf,LEAF2,Ethernet12,network_port,,,False
l2leaf,LEAF2,Ethernet13,network_port,,,False
l2leaf,LEAF2,Ethernet14,network_port,,,False
l2leaf,LEAF2,Ethernet15,network_port,,,False
l2leaf,LEAF2,Ethernet16,network_port,,,False
l2leaf,LEAF2,Ethernet17,network_port,,,True
l2leaf,LEAF2,Ethernet18,network_port,,,False
l2leaf,LEAF2,Ethernet19,network_port,,,True
l2leaf,LEAF2,Ethernet20,network_port,,,False
l2leaf,LEAF2,Ethernet21,network_port,,,True
l2leaf,LEAF2,Ethernet22,network_port,,,False
l2leaf,LEAF2,Ethernet23,network_port,,,True
l2leaf,LEAF2,Ethernet24,network_port,,,False
l2leaf,LEAF2,Ethernet25,network_port,,,True
l2leaf,LEAF2,Ethernet26,network_port,,,False
l2leaf,LEAF2,Ethernet27,network_port,,,True
l2leaf,LEAF2,Ethernet28,network_port,,,False
l2leaf,LEAF2,Ethernet29,network_port,,,True
l2leaf,LEAF2,Ethernet30,network_port,,,False
l2leaf,LEAF2,Ethernet31,network_port,,,True
l2leaf,LEAF2,Ethernet32,network_port,,,False
l2leaf,LEAF2,Ethernet35,l2spine,SPINE1,Ethernet29,True
l2leaf,LEAF2,Ethernet36,l2spine,SPINE2,Ethernet29,True
l2leaf,LEAF3,Ethernet1,network_port,,,True
l2leaf,LEAF3,Ethernet2,network_port,,,True
l2leaf,LEAF3,Ethernet3,network_port,,,True
l2leaf,LEAF3,Ethernet4,network_port,,,True
l2leaf,LEAF3,Ethernet5,network_port,,,True
l2leaf,LEAF3,Ethernet6,network_port,,,True
l2leaf,LEAF3,Ethernet7,network_port,,,True
l2leaf,LEAF3,Ethernet8,network_port,,,True
l2leaf,LEAF3,Ethernet9,network_port,,,True
l2leaf,LEAF3,Ethernet10,network_port,,,True
l2leaf,LEAF3,Ethernet11,network_port,,,True
l2leaf,LEAF3,Ethernet12,network_port,,,True
l2leaf,LEAF3,Ethernet13,network_port,,,True
l2leaf,LEAF3,Ethernet14,network_port,,,True
l2leaf,LEAF3,Ethernet15,network_port,,,True
l2leaf,LEAF3,Ethernet16,network_port,,,True
l2leaf,LEAF3,Ethernet17,network_port,,,True
l2leaf,LEAF3,Ethernet18,network_port,,,True
l2leaf,LEAF3,Ethernet19,network_port,,,True
l2leaf,LEAF3,Ethernet20,network_port,,,True
l2leaf,LEAF3,Ethernet21,network_port,,,True
l2leaf,LEAF3,Ethernet22,network_port,,,True
l2leaf,LEAF3,Ethernet23,network_port,,,True
l2leaf,LEAF3,Ethernet24,network_port,,,True
l2leaf,LEAF3,Ethernet25,network_port,,,True
l2leaf,LEAF3,Ethernet26,network_port,,,True
l2leaf,LEAF3,Ethernet27,network_port,,,True
l2leaf,LEAF3,Ethernet28,network_port,,,True
l2leaf,LEAF3,Ethernet29,network_port,,,True
l2leaf,LEAF3,Ethernet30,network_port,,,True
l2leaf,LEAF3,Ethernet31,network_port,,,True
l2leaf,LEAF3,Ethernet32,network_port,,,True
l2leaf,LEAF3,Ethernet33,network_port,,,True
l2leaf,LEAF3,Ethernet34,network_port,,,True
l2leaf,LEAF3,Ethernet35,network_port,,,True
l2leaf,LEAF3,Ethernet36,network_port,,,True
l2leaf,LEAF3,Ethernet37,network_port,,,True
l2leaf,LEAF3,Ethernet38,network_port,,,True
l2leaf,LEAF3,Ethernet39,network_port,,,True
l2leaf,LEAF3,Ethernet40,network_port,,,True
l2leaf,LEAF3,Ethernet41,network_port,,,True
l2leaf,LEAF3,Ethernet42,network_port,,,True
l2leaf,LEAF3,Ethernet43,network_port,,,True
l2leaf,LEAF3,Ethernet44,network_port,,,True
l2leaf,LEAF3,Ethernet45,network_port,,,True
l2leaf,LEAF3,Ethernet46,network_port,,,True
l2leaf,LEAF3,Ethernet47,network_port,,,True
l2leaf,LEAF3,Ethernet48,network_port,,,True
l2leaf,LEAF3,Ethernet53,l2spine,SPINE1,Ethernet27,True
l2leaf,LEAF3,Ethernet54,l2spine,SPINE2,Ethernet27,True
l2leaf,LEAF4,Ethernet1,network_port,,,True
l2leaf,LEAF4,Ethernet2,network_port,,,True
l2leaf,LEAF4,Ethernet3,network_port,,,True
l2leaf,LEAF4,Ethernet4,network_port,,,True
l2leaf,LEAF4,Ethernet5,printers,PRN2,Eth1,True
l2leaf,LEAF4,Ethernet6,network_port,,,True
